System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C4res%,C6res%,SKT0,SKT0,SKT0,
2026-07-30,12:06:07.362,0.02,1.52,0.01,0.37,1.44,6.18,0.57,0.77,0.92,0.0046,0.0004,0.72,0.28,71,1332.75,875.34,3881.14,1.52,12.69,0.02,0.14,3.06,11.28,0.00,51.28,34.39,100.00,0.00,0.00,0.00,7.47,1.17,0.09,
2026-07-30,12:06:08.362,0.01,1.56,0.01,0.32,1.23,5.52,0.54,0.77,0.85,0.0054,0.0005,0.66,0.24,71,1026.45,659.56,3878.29,1.56,12.97,0.01,0.11,2.69,7.71,0.00,53.23,36.37,100.00,0.00,0.00,0.00,6.99,0.69,0.08,
2026-07-30,12:06:09.362,0.01,1.23,0.01,0.24,0.95,4.65,0.57,0.80,0.80,0.0077,0.0009,0.59,0.23,71,602.31,490.88,3881.47,1.23,10.23,0.01,0.06,2.60,8.39,0.00,52.93,36.08,100.00,0.00,0.00,0.00,6.56,0.29,0.08,
2026-07-30,12:06:10.363,0.02,1.43,0.01,0.36,1.42,7.62,0.73,0.73,0.91,0.0056,0.0005,0.77,0.26,71,1364.28,950.83,3880.82,1.43,11.96,0.02,0.15,3.38,10.55,0.00,51.77,34.31,100.00,0.00,0.00,0.00,7.51,1.19,0.07,
2026-07-30,12:06:11.364,0.04,1.74,0.03,0.54,2.11,10.58,1.25,0.71,0.91,0.0031,0.0004,0.98,0.36,71,3449.90,1983.94,3881.14,1.74,14.49,0.04,0.37,4.72,21.38,0.00,40.76,33.14,100.00,0.00,0.00,0.00,10.07,3.68,0.07,
2026-07-30,12:06:12.364,0.01,1.24,0.00,0.26,1.00,4.22,0.61,0.80,0.68,0.0089,0.0013,0.57,0.22,71,475.46,384.35,3879.94,1.24,10.31,0.01,0.05,1.93,3.03,0.00,58.87,36.18,100.00,0.00,0.00,0.00,6.51,0.30,0.08,
2026-07-30,12:06:13.364,0.02,1.84,0.01,0.37,1.46,5.19,0.86,0.79,0.73,0.0037,0.0006,0.62,0.23,71,1402.76,764.16,3878.21,1.84,15.30,0.02,0.15,2.63,3.20,0.00,59.57,34.60,100.00,0.00,0.00,0.00,7.12,0.90,0.08,
2026-07-30,12:06:14.364,0.02,1.86,0.01,0.38,1.47,5.23,0.88,0.78,0.72,0.0037,0.0006,0.62,0.22,71,1414.36,760.01,3877.82,1.86,15.51,0.02,0.15,2.60,4.71,0.00,57.79,34.90,100.00,0.00,0.00,0.00,7.21,0.96,0.08,
2026-07-30,12:06:15.365,0.01,1.20,0.01,0.25,0.99,4.34,0.83,0.81,0.58,0.0083,0.0016,0.60,0.24,71,519.62,434.75,3881.91,1.20,9.96,0.01,0.06,2.21,5.84,0.00,57.01,34.94,100.00,0.00,0.00,0.00,6.63,0.36,0.08,
2026-07-30,12:06:16.365,0.04,2.28,0.02,0.49,1.92,8.84,1.05,0.71,0.80,0.0027,0.0003,0.90,0.30,71,3316.78,1452.00,3877.82,2.28,19.04,0.04,0.36,3.80,16.90,0.00,45.65,33.65,100.00,0.00,0.00,0.00,8.92,2.52,0.08,
2026-07-30,12:06:17.365,0.04,1.71,0.03,0.61,2.38,10.55,1.61,0.69,0.86,0.0031,0.0005,0.90,0.24,70,3406.54,1996.16,3877.99,1.71,14.22,0.04,0.37,4.21,11.01,0.00,51.85,32.92,100.00,0.00,0.00,0.00,9.38,3.19,0.03,
2026-07-30,12:06:18.365,0.01,1.58,0.00,0.28,1.10,2.53,0.36,0.82,0.72,0.0043,0.0006,0.34,0.07,71,589.08,372.10,3880.39,1.58,13.19,0.01,0.06,1.70,2.17,0.00,59.15,36.98,100.00,0.00,0.00,0.00,6.46,0.43,0.02,
2026-07-30,12:06:19.366,0.03,2.33,0.01,0.52,2.01,2.71,0.71,0.82,0.71,0.0014,0.0004,0.34,0.06,71,1972.24,845.24,3881.52,2.33,19.44,0.03,0.21,2.11,3.38,0.00,57.45,37.06,100.00,0.00,0.00,0.00,7.52,1.44,0.02,
2026-07-30,12:06:20.366,0.03,2.30,0.01,0.53,2.05,3.29,0.94,0.80,0.66,0.0015,0.0004,0.40,0.08,71,2149.07,935.96,3879.77,2.30,19.13,0.03,0.23,2.29,1.85,0.00,58.70,37.15,100.00,0.00,0.00,0.00,7.76,1.72,0.02,
2026-07-30,12:06:21.367,0.00,1.28,0.00,0.27,1.07,2.01,0.28,0.83,0.66,0.0061,0.0008,0.29,0.05,71,331.12,259.68,3881.42,1.28,10.63,0.00,0.04,1.22,0.80,0.00,59.51,38.47,100.00,0.00,0.00,0.00,6.23,0.24,0.01,
2026-07-30,12:06:22.367,0.27,2.43,0.11,1.08,4.21,13.02,2.09,0.67,0.88,0.0006,0.0001,1.09,0.40,68,20624.12,8504.21,3877.03,2.43,20.21,0.27,2.22,10.17,3.96,0.00,53.17,32.70,100.00,0.00,0.00,0.00,22.66,16.33,0.06,
2026-07-30,12:06:23.368,0.06,2.13,0.03,0.69,2.70,7.28,2.01,0.86,0.80,0.0015,0.0004,0.81,0.28,67,4774.13,2246.40,3880.00,2.13,17.71,0.06,0.51,4.18,16.59,0.00,50.59,28.64,100.00,0.00,0.00,0.00,13.26,6.83,0.09,
